id_countries|country_code|country|region|sub-region
1|AFG|Afghanistan|Asia|Southern Asia
2|ALB|Albania|Europe|Southern Europe
3|DZA|Algeria|Africa|Northern Africa
4|AND|Andorra|Europe|Southern Europe
5|AGO|Angola|Africa|Sub-Saharan Africa
6|ATG|Antigua and Barbuda|Americas|Latin America and the Caribbean
7|ARG|Argentina|Americas|Latin America and the Caribbean
8|ARM|Armenia|Asia|Western Asia
9|AUS|Australia|Oceania|Australia and New Zealand
10|AUT|Austria|Europe|Western Europe
11|AZE|Azerbaijan|Asia|Western Asia
12|BHS|Bahamas|Americas|Latin America and the Caribbean
13|BHR|Bahrain|Asia|Western Asia
14|BGD|Bangladesh|Asia|Southern Asia
15|BRB|Barbados|Americas|Latin America and the Caribbean
16|BLR|Belarus|Europe|Eastern Europe
17|BEL|Belgium|Europe|Western Europe
18|BLZ|Belize|Americas|Latin America and the Caribbean
19|BEN|Benin|Africa|Sub-Saharan Africa
20|BTN|Bhutan|Asia|Southern Asia
21|BOL|Bolivia|Americas|Latin America and the Caribbean
22|BWA|Botswana|Africa|Sub-Saharan Africa
23|BRA|Brazil|Americas|Latin America and the Caribbean
24|BGR|Bulgaria|Europe|Eastern Europe
25|BFA|Burkina Faso|Africa|Sub-Saharan Africa
26|BDI|Burundi|Africa|Sub-Saharan Africa
27|KHM|Cambodia|Asia|South-eastern Asia
28|CMR|Cameroon|Africa|Sub-Saharan Africa
29|CAN|Canada|Americas|Northern America
30|CAF|Central African Republic|Africa|Sub-Saharan Africa
31|TCD|Chad|Africa|Sub-Saharan Africa
32|CHL|Chile|Americas|Latin America and the Caribbean
33|CHN|China|Asia|Eastern Asia
34|COL|Colombia|Americas|Latin America and the Caribbean
35|COM|Comoros|Africa|Sub-Saharan Africa
36|CRI|Costa Rica|Americas|Latin America and the Caribbean
37|HRV|Croatia|Europe|Southern Europe
38|CUB|Cuba|Americas|Latin America and the Caribbean
39|CYP|Cyprus|Asia|Western Asia
40|CZE|Czech Republic|Europe|Eastern Europe
41|DNK|Denmark|Europe|Northern Europe
42|DJI|Djibouti|Africa|Sub-Saharan Africa
43|DMA|Dominica|Americas|Latin America and the Caribbean
44|DOM|Dominican Republic|Americas|Latin America and the Caribbean
45|ECU|Ecuador|Americas|Latin America and the Caribbean
46|EGY|Egypt|Africa|Northern Africa
47|SLV|El Salvador|Americas|Latin America and the Caribbean
48|GNQ|Equatorial Guinea|Africa|Sub-Saharan Africa
49|ERI|Eritrea|Africa|Sub-Saharan Africa
50|EST|Estonia|Europe|Northern Europe
51|ETH|Ethiopia|Africa|Sub-Saharan Africa
52|FJI|Fiji|Oceania|Melanesia
53|FIN|Finland|Europe|Northern Europe
54|FRA|France|Europe|Western Europe
55|GAB|Gabon|Africa|Sub-Saharan Africa
56|GEO|Georgia|Asia|Western Asia
57|DEU|Germany|Europe|Western Europe
58|GHA|Ghana|Africa|Sub-Saharan Africa
59|GRC|Greece|Europe|Southern Europe
60|GRD|Grenada|Americas|Latin America and the Caribbean
61|GTM|Guatemala|Americas|Latin America and the Caribbean
62|GIN|Guinea|Africa|Sub-Saharan Africa
63|GUY|Guyana|Americas|Latin America and the Caribbean
64|HTI|Haiti|Americas|Latin America and the Caribbean
65|HND|Honduras|Americas|Latin America and the Caribbean
66|HUN|Hungary|Europe|Eastern Europe
67|ISL|Iceland|Europe|Northern Europe
68|IND|India|Asia|Southern Asia
69|IDN|Indonesia|Asia|South-eastern Asia
70|IRN|Iran|Asia|Southern Asia
71|IRQ|Iraq|Asia|Western Asia
72|IRL|Ireland|Europe|Northern Europe
73|ISR|Israel|Asia|Western Asia
74|ITA|Italy|Europe|Southern Europe
75|JAM|Jamaica|Americas|Latin America and the Caribbean
76|JPN|Japan|Asia|Eastern Asia
77|JOR|Jordan|Asia|Western Asia
78|KAZ|Kazakhstan|Asia|Central Asia
79|KEN|Kenya|Africa|Sub-Saharan Africa
80|KIR|Kiribati|Oceania|Micronesia
81|PRK|South Korea|Asia|Eastern Asia
82|KWT|Kuwait|Asia|Western Asia
83|KGZ|Kyrgyzstan|Asia|Central Asia
84|LAO|Laos|Asia|South-eastern Asia
85|LVA|Latvia|Europe|Northern Europe
86|LBN|Lebanon|Asia|Western Asia
87|LSO|Lesotho|Africa|Sub-Saharan Africa
88|LBR|Liberia|Africa|Sub-Saharan Africa
89|LBY|Libya|Africa|Northern Africa
90|LIE|Liechtenstein|Europe|Western Europe
91|LTU|Lithuania|Europe|Northern Europe
92|LUX|Luxembourg|Europe|Western Europe
93|MKD|Macedonia|Europe|Southern Europe
94|MDG|Madagascar|Africa|Sub-Saharan Africa
95|MWI|Malawi|Africa|Sub-Saharan Africa
96|MYS|Malaysia|Asia|South-eastern Asia
97|MDV|Maldives|Asia|Southern Asia
98|MLI|Mali|Africa|Sub-Saharan Africa
99|MLT|Malta|Europe|Southern Europe
100|MHL|Marshall Islands|Oceania|Micronesia
101|MRT|Mauritania|Africa|Sub-Saharan Africa
102|MUS|Mauritius|Africa|Sub-Saharan Africa
103|MEX|Mexico|Americas|Latin America and the Caribbean
104|MDA|Moldova|Europe|Eastern Europe
105|MCO|Monaco|Europe|Western Europe
106|MNG|Mongolia|Asia|Eastern Asia
107|MNE|Montenegro|Europe|Southern Europe
108|MAR|Morocco|Africa|Northern Africa
109|MOZ|Mozambique|Africa|Sub-Saharan Africa
110|MMR|Myanmar|Asia|South-eastern Asia
111|NAM|Namibia|Africa|Sub-Saharan Africa
112|NRU|Nauru|Oceania|Micronesia
113|NPL|Nepal|Asia|Southern Asia
114|NLD|Netherlands|Europe|Western Europe
115|NZL|New Zealand|Oceania|Australia and New Zealand
116|NIC|Nicaragua|Americas|Latin America and the Caribbean
117|NER|Niger|Africa|Sub-Saharan Africa
118|NGA|Nigeria|Africa|Sub-Saharan Africa
119|NOR|Norway|Europe|Northern Europe
120|OMN|Oman|Asia|Western Asia
121|PAK|Pakistan|Asia|Southern Asia
122|PLW|Palau|Oceania|Micronesia
123|PAN|Panama|Americas|Latin America and the Caribbean
124|PNG|Papua New Guinea|Oceania|Melanesia
125|PRY|Paraguay|Americas|Latin America and the Caribbean
126|PER|Peru|Americas|Latin America and the Caribbean
127|PHL|Philippines|Asia|South-eastern Asia
128|POL|Poland|Europe|Eastern Europe
129|PRT|Portugal|Europe|Southern Europe
130|QAT|Qatar|Asia|Western Asia
131|ROU|Romania|Europe|Eastern Europe
132|RUS|Russia|Europe|Eastern Europe
133|RWA|Rwanda|Africa|Sub-Saharan Africa
134|KNA|Saint Kitts and Nevis|Americas|Latin America and the Caribbean
135|LCA|Saint Lucia|Americas|Latin America and the Caribbean
136|WSM|Samoa|Oceania|Polynesia
137|SMR|San Marino|Europe|Southern Europe
